HDI Rank (2015);Country;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015
38; Saudi Arabia;;;11.9;12.5;13.5;14;14.5;15;15.3;15.3
162; Senegal;3.6;4.3;5.2;6.2;7.8;8.1;8.5;8.9;9.2;9.2
66; Serbia;;;13.3;13.8;13.9;14.5;14.6;14.8;14.8;14.8
63; Seychelles;11.4;11.9;12.7;13.4;13.8;14.2;13.4;13.7;14.8;14.8
179; Sierra Leone;;;5.9;7.1;8.4;8.6;8.9;9.1;9.1;9.1
5; Singapore;;;;;;;;15.5;15.5;15.5
40; Slovakia;11.7;12.2;13.4;14.6;15.7;15.6;15.6;15.6;15.5;15.5
25; Slovenia;12.2;12.9;15.4;17.3;17.8;17.9;17.7;18.4;18.1;18.1
156; Solomon Islands;5.4;6.6;6.2;8;8.9;9;9;9.1;9.1;9.1
119; South Africa;11.5;13.2;13.2;13.3;13.4;13.4;13.4;13.6;13.6;13.6
181; South Sudan;;;;;3.8;3.8;3.8;3.8;3.8;3.8
27; Spain;14.3;16;16.1;16.4;17.3;17.6;17.8;18;18;18
73; Sri Lanka;11.4;12;12.6;13.2;13.8;13.9;14.1;14.3;14.3;14.3
165; Sudan;;;;5.9;6.7;6.5;6.6;7;7;7
97; Suriname;12.8;12.3;11.9;12.2;13;13;13;13;13;13
148; Swaziland;;9.3;9;9.7;10.7;10.9;10.9;11;11;11
14; Sweden;13.2;16.7;20.5;16.7;16.7;16.6;16.6;16.6;16.6;16.6
2; Switzerland;12.8;13.8;14.8;15;15.5;15.6;15.7;15.9;16;16
149; Syrian Arab Republic;9.2;9;9.6;11.2;11.8;12.4;12.9;8.9;8.9;8.9
129; Tajikistan;;9.4;8.8;9.7;10.3;10.3;10.5;10.6;10.6;10.6
151; Tanzania (United Republic of);5.4;5.3;6.1;7.4;8.8;8.7;8.7;8.2;8.3;8.3
87; Thailand;8.4;9.8;11.3;12.5;13.7;14.1;14;14.1;14.1;14.1
82; The former Yugoslav Republic of Macedonia;10.2;11;11.8;12.2;13;13;13;13;13;13
133; Timor-Leste;;;;10.5;12.1;12.1;12.1;12.1;12.1;12.1
166; Togo;5.4;6.1;7.5;8.5;9.5;9.8;10.2;10.5;10.8;10.8
101; Tonga;;14.1;14.1;14.9;14.7;14.7;14.6;14.6;14.6;14.6
65; Trinidad and Tobago;11.2;11.3;11.9;12.6;13;14.2;14.2;14.3;14.3;14.3
97; Tunisia;9.5;11;13;14.5;15;15.1;15.1;15.1;15.1;15.1
71; Turkey;7.6;8.4;9.8;11;13.2;13.7;13.9;13.9;14;14
111; Turkmenistan;;;;;10.4;10.4;10.5;10.5;10.6;10.6
163; Uganda;4.9;6;10.3;10.4;10.5;9.9;9.9;9.9;9.9;9.9
84; Ukraine;12.9;12.6;13.4;14.8;15.3;15.3;15.4;15.5;15.5;15.5
42; United Arab Emirates;11.3;11.8;;;;13.9;13.9;13.9;13.9;13.9
